hourPV,DatePV,EnergyPV,EnergyREG,SOLAR RADIATION
8:00:00,1/9/2021,0.46,0.00,676.3
9:00:00,1/9/2021,0.48,0.00,704.8
10:00:00,1/9/2021,0.48,0.00,713.5
11:00:00,1/9/2021,0.47,0.00,795.1
12:00:00,1/9/2021,0.47,0.00,419.6
13:00:00,1/9/2021,0.53,0.00,262.3
14:00:00,1/9/2021,0.48,0.00,308.4
15:00:00,1/9/2021,0.48,0.00,781.2
16:00:00,1/9/2021,0.47,0.00,379.5
17:00:00,1/9/2021,0.45,0.00,253.7
18:00:00,1/9/2021,0.47,0.00,287.8
19:00:00,1/9/2021,0.48,0.00,376.4
20:00:00,1/9/2021,0.49,0.00,277.9
21:00:00,1/9/2021,,,362.2
8:00:00,2/9/2021,0.45,0.00,949.2
9:00:00,2/9/2021,0.49,0.00,821.8
10:00:00,2/9/2021,0.50,0.00,919.3
11:00:00,2/9/2021,0.44,0.00,917.2
12:00:00,2/9/2021,0.47,0.00,960.1
13:00:00,2/9/2021,0.52,0.00,814.3
14:00:00,2/9/2021,0.44,0.00,733.6
15:00:00,2/9/2021,0.47,0.00,575
16:00:00,2/9/2021,0.50,0.00,348.1
17:00:00,2/9/2021,0.47,0.00,506.4
18:00:00,2/9/2021,0.47,0.00,572.8
19:00:00,2/9/2021,0.47,0.00,780.4
20:00:00,2/9/2021,0.48,0.00,684.8
21:00:00,2/9/2021,,,705.9
8:00:00,3/9/2021,0.47,0.00,695.3
9:00:00,3/9/2021,0.47,0.00,644.8
10:00:00,3/9/2021,0.49,0.00,540.2
11:00:00,3/9/2021,0.48,0.00,458.4
12:00:00,3/9/2021,0.50,0.00,378.8
13:00:00,3/9/2021,0.46,0.00,187.9
14:00:00,3/9/2021,0.48,0.00,144.8
15:00:00,3/9/2021,0.45,0.00,138.6
16:00:00,3/9/2021,0.49,0.00,131.8
17:00:00,3/9/2021,0.49,0.00,132.9
18:00:00,3/9/2021,0.51,0.00,177.9
19:00:00,3/9/2021,0.50,0.00,210
20:00:00,3/9/2021,0.48,0.00,140.2
21:00:00,3/9/2021,,,75.4
8:00:00,4/9/2021,0.43,0.00,44.4
9:00:00,4/9/2021,0.47,0.00,31.6
10:00:00,4/9/2021,0.51,0.00,28.5
11:00:00,4/9/2021,0.47,0.00,19.4
12:00:00,4/9/2021,0.49,0.00,17.4
13:00:00,4/9/2021,0.50,0.00,11.1
14:00:00,4/9/2021,0.42,0.00,3.7
15:00:00,4/9/2021,0.47,0.00,0.1
16:00:00,4/9/2021,0.47,0.00,703.1
17:00:00,4/9/2021,0.52,0.00,764.6
18:00:00,4/9/2021,0.46,0.00,757.6
19:00:00,4/9/2021,0.46,0.00,645.4
20:00:00,4/9/2021,0.49,0.00,665.8
21:00:00,4/9/2021,,,692.8
8:00:00,5/9/2021,0.46,0.00,858.2
9:00:00,5/9/2021,0.48,0.00,979.7
10:00:00,5/9/2021,0.48,0.00,986.8
11:00:00,5/9/2021,0.50,0.00,831.5
12:00:00,5/9/2021,0.46,0.00,548.4
13:00:00,5/9/2021,0.53,0.00,605.9
14:00:00,5/9/2021,0.48,0.00,668.8
15:00:00,5/9/2021,0.51,0.00,432.6
16:00:00,5/9/2021,0.49,0.00,368.6
17:00:00,5/9/2021,0.50,0.00,334.7
18:00:00,5/9/2021,0.53,0.00,376.1
19:00:00,5/9/2021,0.47,0.00,404.8
20:00:00,5/9/2021,0.48,0.00,460.3
21:00:00,5/9/2021,,,220.3
8:00:00,6/9/2021,0.47,0.00,170.1
9:00:00,6/9/2021,0.49,0.00,223.1
10:00:00,6/9/2021,0.46,0.00,227.6
11:00:00,6/9/2021,0.50,0.00,174.1
12:00:00,6/9/2021,0.47,0.00,136.1
13:00:00,6/9/2021,0.53,0.00,177.9
14:00:00,6/9/2021,0.48,0.00,107.2
15:00:00,6/9/2021,0.48,0.00,55.8
16:00:00,6/9/2021,0.47,0.00,45.5
17:00:00,6/9/2021,0.50,0.00,33.5
18:00:00,6/9/2021,0.48,0.00,38.2
19:00:00,6/9/2021,0.53,0.00,35
20:00:00,6/9/2021,0.46,0.00,35.8
21:00:00,6/9/2021,,,40.7
8:00:00,7/9/2021,0.45,0.00,46.2
9:00:00,7/9/2021,0.48,0.00,59.7
10:00:00,7/9/2021,0.47,0.00,81.8
11:00:00,7/9/2021,0.49,0.00,90.4
12:00:00,7/9/2021,0.46,0.00,81.2
13:00:00,7/9/2021,0.47,0.00,74.5
14:00:00,7/9/2021,0.49,0.00,72.1
15:00:00,7/9/2021,0.49,0.00,64.4
16:00:00,7/9/2021,0.53,0.00,52.2
17:00:00,7/9/2021,0.49,0.00,43.7
18:00:00,7/9/2021,0.50,0.00,36.1
19:00:00,7/9/2021,0.47,0.00,27.9
20:00:00,7/9/2021,0.50,0.00,19.2
21:00:00,7/9/2021,,,9.7
8:00:00,8/9/2021,0.47,0.00,2.7
9:00:00,8/9/2021,0.48,0.00,386.4
10:00:00,8/9/2021,0.50,0.00,309.4
11:00:00,8/9/2021,0.48,0.00,416.9
12:00:00,8/9/2021,0.48,0.00,667.6
13:00:00,8/9/2021,0.48,0.00,716.6
14:00:00,8/9/2021,0.46,0.00,894.9
15:00:00,8/9/2021,0.49,0.00,919
16:00:00,8/9/2021,0.51,0.00,755.5
17:00:00,8/9/2021,0.49,0.00,452.9
18:00:00,8/9/2021,0.50,0.00,732
19:00:00,8/9/2021,0.21,0.28,479.5
20:00:00,8/9/2021,0.00,0.47,842.4
21:00:00,8/9/2021,,,879.9
8:00:00,9/9/2021,0.46,0.00,675.7
9:00:00,9/9/2021,0.48,0.00,627.9
10:00:00,9/9/2021,0.49,0.00,919.1
11:00:00,9/9/2021,0.48,0.00,714.6
12:00:00,9/9/2021,0.48,0.00,994.4
13:00:00,9/9/2021,0.50,0.00,942
14:00:00,9/9/2021,0.46,0.00,893.8
15:00:00,9/9/2021,0.51,0.00,495.4
16:00:00,9/9/2021,0.49,0.00,229.1
17:00:00,9/9/2021,0.49,0.00,213.5
18:00:00,9/9/2021,0.48,0.00,189.2
19:00:00,9/9/2021,0.47,0.00,248.5
20:00:00,9/9/2021,0.49,0.00,290.9
21:00:00,9/9/2021,,,313.1
8:00:00,10/9/2021,0.45,0.00,599.1
9:00:00,10/9/2021,0.49,0.00,711.6
10:00:00,10/9/2021,0.45,0.00,725.9
11:00:00,10/9/2021,0.48,0.00,638.5
12:00:00,10/9/2021,0.48,0.00,643.4
13:00:00,10/9/2021,0.49,0.00,607.9
14:00:00,10/9/2021,0.47,0.00,617.1
15:00:00,10/9/2021,0.48,0.00,571.5
16:00:00,10/9/2021,0.49,0.00,548.6
17:00:00,10/9/2021,0.47,0.00,514.3
18:00:00,10/9/2021,0.39,0.10,481.8
19:00:00,10/9/2021,0.00,0.46,451.6
20:00:00,10/9/2021,0.00,0.48,410.3
21:00:00,10/9/2021,,,327.7
8:00:00,11/9/2021,0.47,0.00,217
9:00:00,11/9/2021,0.46,0.00,117.5
10:00:00,11/9/2021,0.49,0.00,140.9
11:00:00,11/9/2021,0.47,0.00,107.6
12:00:00,11/9/2021,0.47,0.00,69
13:00:00,11/9/2021,0.48,0.00,44.1
14:00:00,11/9/2021,0.50,0.00,20
15:00:00,11/9/2021,0.51,0.00,5.9
16:00:00,11/9/2021,0.49,0.00,603.9
17:00:00,11/9/2021,0.48,0.00,635.9
18:00:00,11/9/2021,0.45,0.00,557.2
19:00:00,11/9/2021,0.30,0.17,495.8
20:00:00,11/9/2021,0.00,0.47,857.1
21:00:00,11/9/2021,,,750.4
8:00:00,12/9/2021,0.46,0.00,581.1
9:00:00,12/9/2021,0.47,0.00,689
10:00:00,12/9/2021,0.46,0.00,1054.9
11:00:00,12/9/2021,0.47,0.00,635
12:00:00,12/9/2021,0.45,0.00,281.4
13:00:00,12/9/2021,0.45,0.00,193.5
14:00:00,12/9/2021,0.48,0.00,214.8
15:00:00,12/9/2021,0.47,0.00,246.2
16:00:00,12/9/2021,0.48,0.00,249.1
17:00:00,12/9/2021,0.47,0.00,249.8
18:00:00,12/9/2021,0.46,0.00,181.1
19:00:00,12/9/2021,0.45,0.00,230.8
20:00:00,12/9/2021,0.50,0.00,295.2
21:00:00,12/9/2021,,,831.3
8:00:00,13/9/2021,0.45,0.00,822.4
9:00:00,13/9/2021,0.46,0.00,423.5
10:00:00,13/9/2021,0.48,0.00,407
11:00:00,13/9/2021,0.47,0.00,416.6
12:00:00,13/9/2021,0.42,0.00,614
13:00:00,13/9/2021,0.42,0.00,279.5
14:00:00,13/9/2021,0.47,0.00,356.5
15:00:00,13/9/2021,0.47,0.00,468
16:00:00,13/9/2021,0.49,0.00,368.9
17:00:00,13/9/2021,0.45,0.00,144.1
18:00:00,13/9/2021,0.49,0.00,254.9
19:00:00,13/9/2021,0.42,0.00,256.9
20:00:00,13/9/2021,0.46,0.00,204.4
21:00:00,13/9/2021,,,180.9
8:00:00,14/9/2021,0.45,0.00,240.3
9:00:00,14/9/2021,0.48,0.00,260.9
10:00:00,14/9/2021,0.47,0.00,213.6
11:00:00,14/9/2021,0.47,0.00,141.9
12:00:00,14/9/2021,0.48,0.00,143.9
13:00:00,14/9/2021,0.49,0.00,196.8
14:00:00,14/9/2021,0.46,0.00,227.6
15:00:00,14/9/2021,0.46,0.00,223.7
16:00:00,14/9/2021,0.46,0.00,162.3
17:00:00,14/9/2021,0.49,0.00,136
18:00:00,14/9/2021,0.46,0.00,126.3
19:00:00,14/9/2021,0.44,0.00,55.1
20:00:00,14/9/2021,0.46,0.00,17.3
21:00:00,14/9/2021,,,8.9
8:00:00,15/9/2021,0.46,0.00,4.7
9:00:00,15/9/2021,0.47,0.00,748
10:00:00,15/9/2021,0.48,0.00,755.8
11:00:00,15/9/2021,0.45,0.00,876.2
12:00:00,15/9/2021,0.52,0.00,881
13:00:00,15/9/2021,0.47,0.00,799.3
14:00:00,15/9/2021,0.45,0.00,714.3
15:00:00,15/9/2021,0.47,0.00,941.9
16:00:00,15/9/2021,0.47,0.00,902.4
17:00:00,15/9/2021,0.44,0.00,395.6
18:00:00,15/9/2021,0.49,0.00,461.6
19:00:00,15/9/2021,0.45,0.00,415.9
20:00:00,15/9/2021,0.49,0.00,382.3
21:00:00,15/9/2021,,,580.1
8:00:00,16/9/2021,0.49,0.00,931.3
9:00:00,16/9/2021,0.46,0.00,1043.8
10:00:00,16/9/2021,0.45,0.00,1089.4
11:00:00,16/9/2021,0.49,0.00,496.9
12:00:00,16/9/2021,0.47,0.00,232.2
13:00:00,16/9/2021,0.48,0.00,236
14:00:00,16/9/2021,0.46,0.00,227.2
15:00:00,16/9/2021,0.49,0.00,282.7
16:00:00,16/9/2021,0.47,0.00,400.1
17:00:00,16/9/2021,0.47,0.00,574.6
18:00:00,16/9/2021,0.49,0.00,259.9
19:00:00,16/9/2021,0.45,0.00,513.5
20:00:00,16/9/2021,0.45,0.00,802
21:00:00,16/9/2021,,,773.7
8:00:00,17/9/2021,0.47,0.00,754.5
9:00:00,17/9/2021,0.48,0.00,361.4
10:00:00,17/9/2021,0.47,0.00,479.1
11:00:00,17/9/2021,0.43,0.00,279.7
12:00:00,17/9/2021,0.48,0.00,524.6
13:00:00,17/9/2021,0.47,0.00,596.5
14:00:00,17/9/2021,0.51,0.00,498.9
15:00:00,17/9/2021,0.41,0.00,251.4
16:00:00,17/9/2021,0.47,0.00,139.9
17:00:00,17/9/2021,0.45,0.00,102.8
18:00:00,17/9/2021,0.47,0.00,90
19:00:00,17/9/2021,0.49,0.00,99
20:00:00,17/9/2021,0.43,0.00,115.8
21:00:00,17/9/2021,,,116.6
8:00:00,18/9/2021,0.47,0.00,109.7
9:00:00,18/9/2021,0.47,0.00,77.8
10:00:00,18/9/2021,0.41,0.00,67.2
11:00:00,18/9/2021,0.49,0.00,58.8
12:00:00,18/9/2021,0.49,0.00,43
13:00:00,18/9/2021,0.48,0.00,19.5
14:00:00,18/9/2021,0.46,0.00,5.9
15:00:00,18/9/2021,0.48,0.00,448.3
16:00:00,18/9/2021,0.49,0.00,541.7
17:00:00,18/9/2021,0.43,0.00,606
18:00:00,18/9/2021,0.46,0.00,875.8
19:00:00,18/9/2021,0.30,0.14,882.6
20:00:00,18/9/2021,0.00,0.48,894.1
21:00:00,18/9/2021,,,918.4
8:00:00,19/9/2021,0.47,0.00,604
9:00:00,19/9/2021,0.45,0.00,489.3
10:00:00,19/9/2021,0.49,0.00,632.9
11:00:00,19/9/2021,0.44,0.00,320.4
12:00:00,19/9/2021,0.46,0.00,258.9
13:00:00,19/9/2021,0.47,0.00,707
14:00:00,19/9/2021,0.43,0.00,443.6
15:00:00,19/9/2021,0.48,0.00,599.6
16:00:00,19/9/2021,0.50,0.00,950.7
17:00:00,19/9/2021,0.44,0.00,957.4
18:00:00,19/9/2021,0.45,0.00,557.9
19:00:00,19/9/2021,0.48,0.00,526.3
20:00:00,19/9/2021,0.46,0.00,643.5
21:00:00,19/9/2021,,,265.8
8:00:00,20/9/2021,0.46,0.00,305.3
9:00:00,20/9/2021,0.49,0.00,892.9
10:00:00,20/9/2021,0.48,0.00,288.5
11:00:00,20/9/2021,0.48,0.00,476.7
12:00:00,20/9/2021,0.43,0.00,816.3
13:00:00,20/9/2021,0.48,0.00,824
14:00:00,20/9/2021,0.47,0.00,600.3
15:00:00,20/9/2021,0.47,0.00,323.6
16:00:00,20/9/2021,0.49,0.00,640
17:00:00,20/9/2021,0.42,0.00,333.1
18:00:00,20/9/2021,0.44,0.00,225.3
19:00:00,20/9/2021,0.46,0.00,553.6
20:00:00,20/9/2021,0.46,0.00,401
21:00:00,20/9/2021,,,397.7
8:00:00,21/9/2021,0.47,0.00,330.6
9:00:00,21/9/2021,0.50,0.00,443.4
10:00:00,21/9/2021,0.46,0.00,271.7
11:00:00,21/9/2021,0.46,0.00,195.7
12:00:00,21/9/2021,0.47,0.00,106.2
13:00:00,21/9/2021,0.48,0.00,101.5
14:00:00,21/9/2021,0.47,0.00,77.4
15:00:00,21/9/2021,0.47,0.00,47.5
16:00:00,21/9/2021,0.49,0.00,33.9
17:00:00,21/9/2021,0.44,0.00,16.9
18:00:00,21/9/2021,0.48,0.00,8.9
19:00:00,21/9/2021,0.44,0.00,7.1
20:00:00,21/9/2021,0.50,0.00,4.2
21:00:00,21/9/2021,,,1.7
8:00:00,22/9/2021,0.47,0.00,844.4
9:00:00,22/9/2021,0.47,0.00,892.6
10:00:00,22/9/2021,0.47,0.00,907.6
11:00:00,22/9/2021,0.48,0.00,461.7
12:00:00,22/9/2021,0.48,0.00,479.6
13:00:00,22/9/2021,0.44,0.00,748.9
14:00:00,22/9/2021,0.48,0.00,787.9
15:00:00,22/9/2021,0.48,0.00,679.1
16:00:00,22/9/2021,0.46,0.00,661.3
17:00:00,22/9/2021,0.47,0.00,791.5
18:00:00,22/9/2021,0.48,0.00,933.1
19:00:00,22/9/2021,0.46,0.00,895.4
20:00:00,22/9/2021,0.40,0.08,942.5
21:00:00,22/9/2021,0.00,0.46,1009.1
22:00:00,22/9/2021,,,760.4
8:00:00,23/9/2021,0.47,0.00,800.5
9:00:00,23/9/2021,0.46,0.00,689.3
10:00:00,23/9/2021,0.47,0.00,526.8
11:00:00,23/9/2021,0.45,0.00,475.6
12:00:00,23/9/2021,0.44,0.00,308.2
13:00:00,23/9/2021,0.48,0.00,737.7
14:00:00,23/9/2021,0.49,0.00,322.7
15:00:00,23/9/2021,0.46,0.00,637.2
16:00:00,23/9/2021,0.54,0.00,403.8
17:00:00,23/9/2021,0.44,0.00,262.5
18:00:00,23/9/2021,0.50,0.00,350.7
19:00:00,23/9/2021,0.48,0.00,88.9
20:00:00,23/9/2021,0.48,0.00,44.8
21:00:00,23/9/2021,0.47,0.00,62.2
22:00:00,23/9/2021,,,78.3
8:00:00,24/9/2021,0.47,0.00,54.2
9:00:00,24/9/2021,0.49,0.00,36.5
10:00:00,24/9/2021,0.48,0.00,30.1
11:00:00,24/9/2021,0.45,0.00,32.1
12:00:00,24/9/2021,0.44,0.00,44.7
13:00:00,24/9/2021,0.49,0.00,55.6
14:00:00,24/9/2021,0.50,0.00,71.3
15:00:00,24/9/2021,0.48,0.00,89.1
16:00:00,24/9/2021,0.43,0.00,104.1
17:00:00,24/9/2021,0.40,0.00,100.3
18:00:00,24/9/2021,0.45,0.00,91.5
19:00:00,24/9/2021,0.48,0.00,67.9
20:00:00,24/9/2021,0.30,0.17,55.6
21:00:00,24/9/2021,0.00,0.50,45.2
22:00:00,24/9/2021,,,25.5
8:00:00,25/9/2021,0.47,0.00,19.6
9:00:00,25/9/2021,0.46,0.00,16.6
10:00:00,25/9/2021,0.48,0.00,8.1
11:00:00,25/9/2021,0.48,0.00,2
12:00:00,25/9/2021,0.47,0.00,132.4
13:00:00,25/9/2021,0.48,0.00,115.2
14:00:00,25/9/2021,0.48,0.00,106.1
15:00:00,25/9/2021,0.50,0.00,105.6
16:00:00,25/9/2021,0.41,0.00,100
17:00:00,25/9/2021,0.47,0.00,89.5
18:00:00,25/9/2021,0.49,0.00,97.3
19:00:00,25/9/2021,0.44,0.00,120.5
20:00:00,25/9/2021,0.45,0.00,123.8
21:00:00,25/9/2021,0.31,0.16,122.7
22:00:00,25/9/2021,,,167.7
8:00:00,26/9/2021,0.47,0.00,251.5
9:00:00,26/9/2021,0.49,0.00,347.4
10:00:00,26/9/2021,0.47,0.00,809
11:00:00,26/9/2021,0.50,0.00,473.7
12:00:00,26/9/2021,0.47,0.00,363.9
13:00:00,26/9/2021,0.45,0.00,397.5
14:00:00,26/9/2021,0.42,0.00,692.1
15:00:00,26/9/2021,0.47,0.00,986.9
16:00:00,26/9/2021,0.49,0.00,358.8
17:00:00,26/9/2021,0.48,0.00,275.4
18:00:00,26/9/2021,0.47,0.00,248.8
19:00:00,26/9/2021,0.50,0.00,289.3
20:00:00,26/9/2021,0.45,0.00,274.3
21:00:00,26/9/2021,0.47,0.00,292.3
22:00:00,26/9/2021,,,325.9
8:00:00,27/9/2021,0.47,0.00,355.7
9:00:00,27/9/2021,0.48,0.00,284.5
10:00:00,27/9/2021,0.46,0.00,184.3
11:00:00,27/9/2021,0.49,0.00,120.7
12:00:00,27/9/2021,0.48,0.00,101.1
13:00:00,27/9/2021,0.47,0.00,112.3
14:00:00,27/9/2021,0.47,0.00,123.7
15:00:00,27/9/2021,0.49,0.00,127.9
16:00:00,27/9/2021,0.42,0.00,134.5
17:00:00,27/9/2021,0.48,0.00,134.5
18:00:00,27/9/2021,0.50,0.00,125.2
19:00:00,27/9/2021,0.50,0.00,132.6
20:00:00,27/9/2021,0.48,0.00,103.4
21:00:00,27/9/2021,0.48,0.00,71.4
22:00:00,27/9/2021,,,60
8:00:00,28/9/2021:,0.48,0.00,55.2
9:00:00,28/9/2021:,0.49,0.00,54.3
10:00:00,28/9/2021:,0.48,0.00,52.9
11:00:00,28/9/2021:,0.48,0.00,44.1
12:00:00,28/9/2021:,0.49,0.00,30.3
13:00:00,28/9/2021:,0.49,0.00,16.7
14:00:00,28/9/2021:,0.49,0.00,7.2
15:00:00,28/9/2021:,0.42,0.00,2.3
16:00:00,28/9/2021:,0.45,0.00,552.2
17:00:00,28/9/2021:,0.47,0.00,564.3
18:00:00,28/9/2021:,0.49,0.00,299.7
19:00:00,28/9/2021:,0.48,0.00,328.5
20:00:00,28/9/2021:,0.49,0.00,450.5
21:00:00,28/9/2021:,0.49,0.00,435.7
22:00:00,28/9/2021:,,,347.5
8:00:00,29/9/2021:,0.47,0.00,289.7
9:00:00,29/9/2021:,0.45,0.00,267
10:00:00,29/9/2021:,0.47,0.00,266.3
11:00:00,29/9/2021:,0.48,0.00,370
12:00:00,29/9/2021:,0.47,0.00,491.8
13:00:00,29/9/2021:,0.48,0.00,525.6
14:00:00,29/9/2021:,0.47,0.00,657
15:00:00,29/9/2021:,0.47,0.00,1030.9
16:00:00,29/9/2021:,0.48,0.00,1066.6
17:00:00,29/9/2021:,0.49,0.00,621.3
18:00:00,29/9/2021:,0.42,0.00,505.9
19:00:00,29/9/2021:,0.50,0.00,410.7
20:00:00,29/9/2021:,0.47,0.00,379.3
21:00:00,29/9/2021:,0.48,0.00,456.3
22:00:00,29/9/2021:,,,420.8
8:00:00,30/9/2021:,4.61,0.00,391.4
9:00:00,30/9/2021:,0.46,0.00,320.8
10:00:00,30/9/2021:,0.45,0.00,428.5
11:00:00,30/9/2021:,0.58,0.00,374.8
12:00:00,30/9/2021:,0.55,0.00,557.8
13:00:00,30/9/2021:,0.46,0.00,547.3
14:00:00,30/9/2021:,0.47,0.00,251.7
15:00:00,30/9/2021:,0.46,0.00,164.2
16:00:00,30/9/2021:,0.49,0.00,141.7
17:00:00,30/9/2021:,0.53,0.00,146.2
18:00:00,30/9/2021:,0.49,0.00,149
19:00:00,30/9/2021:,0.50,0.00,172.5
20:00:00,30/9/2021:,0.53,0.00,180.3
21:00:00,30/9/2021:,0.32,0.19,103.8
22:00:00,30/9/2021:,,,74.7